Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
PSB^Y,"PS Business Parks, Inc.",21.37,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/psb^y
TLK,"PT Telekomunikasi Indonesia, Tbk",25.83,$25.59B,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/tlk
PEG,Public Service Enterprise Group Incorporated,50.82,$25.69B,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/peg
PSA,Public Storage,198.8,$34.66B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/psa
PSA^A,Public Storage,25.64,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/psa^a
PSA^B,Public Storage,23.38,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/psa^b
PSA^C,Public Storage,22.04,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/psa^c
PSA^D,Public Storage,21.47,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/psa^d
PSA^E,Public Storage,21.17,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/psa^e
PSA^F,Public Storage,22.06,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/psa^f
PSA^G,Public Storage,21.82,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/psa^g
PSA^U,Public Storage,24.4,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/psa^u
PSA^V,Public Storage,23.12,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/psa^v
PSA^W,Public Storage,22.5,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/psa^w
PSA^X,Public Storage,22.4,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/psa^x
PSA^Y,Public Storage,25.3,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/psa^y
PSA^Z,Public Storage,25.23,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/psa^z
PHM,"PulteGroup, Inc.",25.94,$7.29B,n/a,Capital Goods,Homebuilding,https://www.nasdaq.com/symbol/phm
PSTG,"Pure Storage, Inc. ",15.43,$3.73B,2015,Technology,Electronic Components,https://www.nasdaq.com/symbol/pstg
PMM,Putnam Managed Municipal Income Trust,6.95,$364.35M,1989,n/a,n/a,https://www.nasdaq.com/symbol/pmm
PIM,Putnam Master Intermediate Income Trust,4.3,$228.56M,1988,n/a,n/a,https://www.nasdaq.com/symbol/pim
PMO,Putnam Municipal Opportunities Trust,11.52,$428.89M,1993,n/a,n/a,https://www.nasdaq.com/symbol/pmo
PPT,Putnam Premier Income Trust,4.79,$510.92M,1988,n/a,n/a,https://www.nasdaq.com/symbol/ppt
NEW,Puxin Limited,5.87,$479.35M,2018,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/new
PVH,PVH Corp.,90.71,$6.87B,n/a,Consumer Non-Durables,Apparel,https://www.nasdaq.com/symbol/pvh
PYX,"Pyxus International, Inc.",12.6,$114.27M,n/a,Consumer Services,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/pyx
PZN,Pzena Investment Management Inc,8.61,$597.04M,2007,Finance,Investment Managers,https://www.nasdaq.com/symbol/pzn
QTWO,"Q2 Holdings, Inc.",47.31,$2.05B,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/qtwo
QEP,"QEP Resources, Inc.",5.75,$1.36B,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/qep
QGEN,Qiagen N.V.,33.78,$7.64B,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/qgen
QTS,"QTS Realty Trust, Inc.",35.22,$1.8B,2013,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/qts
QTS^A,"QTS Realty Trust, Inc.",23.62,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/qts^a
QTS^B,"QTS Realty Trust, Inc.",92.2,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/qts^b
QUAD,"Quad Graphics, Inc",12.33,$637.12M,n/a,Miscellaneous,Publishing,https://www.nasdaq.com/symbol/quad
KWR,Quaker Chemical Corporation,173.44,$2.31B,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/kwr
